cid,text,time,author,channel,votes,photo,heart
UgzyhfLN7NhPrCdUiO94AaABAg,This planet belongs to all of us . Appreciate the work. Kudos to iamgurgaon citizens group.,1 year ago (edited),Mohd Haris,UCpH24tSZnFGAECI_ZCa7jJQ,31,https://yt3.ggpht.com/ytc/AMLnZu9n37oAlJlPOcyVwAVzox9UzHq8ocen0prBMjrsuw=s176-c-k-c0x00ffffff-no-rj,False
UgxLwMsTScF_w52dOK14AaABAg,Love from Tamil nadu 💝  take more steps to save our world.,1 year ago,Siva Prakash N,UCjMzPKARX8DO-MFyNtDU0Gg,8,https://yt3.ggpht.com/ytc/AMLnZu_HkjuZs69muGJC50skZy3bRJW-kfCvTle6qg=s176-c-k-c0x00ffffff-no-rj,False
UgxFe1JVv6Md680knGp4AaABAg,"Appreciable initiative. when citizens participate, govt's know not to ignore the citizens...",1 year ago,Rohan Sharma,UC3uN0f93nklPRte-xnjdEmw,1,https://yt3.ggpht.com/ytc/AMLnZu9YZt8YHJBS5j8qKBI0RORx3_jH2gCdFQNOcQbw=s176-c-k-c0x00ffffff-no-rj,False
UgznVWUOMz5v-74HC_54AaABAg,Nice to see some concerned citizens and aspirants. Keep it up fellas.,11 months ago,Rise up,UCZQ7CXT4PVow1bDwu2vnfIQ,0,https://yt3.ggpht.com/VHZWrjScxhw0cWpe9pBoWK2TQsJLOJheNJrSFwMcHtx466HfpIfy0-df-aeLoXEQhbY6DdXYDi0=s176-c-k-c0x00ffffff-no-rj,False
Ugy-R3DTh9jjkXgu2214AaABAg,"After paying stamp duties, municipal tax and all othere taxs to govt. the citizens have to do everthing.🤦🤷‍♂️",1 year ago,Rajesh Interpretations,UCoeRuAXZoweNJ7gGKrRO6BA,25,https://yt3.ggpht.com/H7BfUjQab-GueSbymKbKviBWAVv4wWIUfWayPEM5YVAKZptMxZdXOaupkOoymVdt7klKNbEFZgQ=s176-c-k-c0x00ffffff-no-rj,False
Ugxu5gPZxCpIC7zwyGl4AaABAg,Breathtaking 🥰,1 year ago,sanaullah alom,UCmDQ7gWhr-MYALNXX2j7g6g,2,https://yt3.ggpht.com/BxHqv-V-rjjNcOJktLvwZKkIqFxTvmnuhrPo4AmmblGYf4oQykGDMeFXCtq_-mllv-2LdTdN=s176-c-k-c0x00ffffff-no-rj,False
UgypwirAJiJZ9L9IVlJ4AaABAg,Great work 🙏,1 year ago,Rakesh Kumar,UCO21rnMrqqv8Q0HwUgslSOg,1,https://yt3.ggpht.com/ytc/AMLnZu9jQ6p89u32eVtOBd7WnjgekkNI5EfqhnK3m8XdHg=s176-c-k-c0x00ffffff-no-rj,False
UgxDkSDlOihlJe9bfDh4AaABAg,Kudos to citizens of Gurgaon,1 year ago,Niraj Killchor Gaming,UCamYZylHgwfJhYk8RGIC9Wg,1,https://yt3.ggpht.com/ytc/AMLnZu_jsqmIWGhaiukz1laCw_ZNUEegLWuU_bBY1hZ13Q=s176-c-k-c0x00ffffff-no-rj,False
UgxfA8uEOuf-zjpPKWx4AaABAg,your organisation deserve Grand salute,1 year ago,Wrestling India,UCymaQzA_YFiIPjKH5FfYmyA,0,https://yt3.ggpht.com/DkfElObW3P_RUquUHJoRGAxp5U2pQmregTluDpShHS1GjvWpshmtXsGiUE8yr5L6SIxW0Mln=s176-c-k-c0x00ffffff-no-rj,False
UgxJmZCAoW5hYWOWhxh4AaABAg,Great work 👏 👍 👌,1 year ago,varun sinha,UCeCdfVsykTOrJ7JKSOeZogw,1,https://yt3.ggpht.com/ytc/AMLnZu9fy0x_n3_Z1BJuOMD_jKSORF-qwwuiSi2yBg=s176-c-k-c0x00ffffff-no-rj,False
UgxpkOVtzVJwVNOwszp4AaABAg,We must understand that tall skyscrapers and good roads are not enough to qualify for a smart city. There must be a significant patch of verdant surroundings to keep the city free of pollution and fresh air. These buildings and streets aren't going to give us the oxygen. Development has been reckless where builders always neglect green cover. They just want to extract their pound of profits.,11 months ago,Karthik Krishnan,UCBj_b4CMEeqCKG2H_IBPKXA,0,https://yt3.ggpht.com/ytc/AMLnZu8THBSdfN17SFPt8_wllb6xLEjRQ-wkT2Ny2A=s176-c-k-c0x00ffffff-no-rj,False
UgziBLFwrgzWJY5q6_14AaABAg,Excellent work from the children of kailas & agenta 🤗,1 year ago,Gabriel,UC7ZAr5wCN04sx2qF8HruJvw,0,https://yt3.ggpht.com/ytc/AMLnZu9_L4uUlFeB2uDwykjnwFQsIXerwDv48YiS5I8oqk5TYUykbCr-a5OK0R38QxtS=s176-c-k-c0x00ffffff-no-rj,False
Ugz6Rpb1wAw-XB7sOUJ4AaABAg,Wow. Inspiring !,1 year ago,Aditya Majumdar,UC0432RYG8A6JzNMX-XEFUOQ,2,https://yt3.ggpht.com/ytc/AMLnZu_UaoNgt7IqsJ0cTjQWNKWYL8YhjNGgTSlHgic9SA=s176-c-k-c0x00ffffff-no-rj,False
UgxfWSrH84RZ4eWDToV4AaABAg,Environment are mothers to protect human beings we need them so it is now a high time to protect them,1 year ago,Ritesh Das,UCkxjegT75e7KnwMl8dGDlHg,0,https://yt3.ggpht.com/ytc/AMLnZu_rlPV5w2mVyzKm9qcTxCj8173zUCA7NVD7JDILQw=s176-c-k-c0x00ffffff-no-rj,False
UgyruWVpl27LVW2QYEF4AaABAg,Jai Hind to all d volunteers,1 year ago,Abhishek Tarai,UC8IYRJlJMug8ndZ7N7meF1w,3,https://yt3.ggpht.com/ytc/AMLnZu83E8-TSyZkw5u3_QXX9zYIu19sKhcsqUWQP0Q2JFc=s176-c-k-c0x00ffffff-no-rj,False
UgykDgdqoP4DoSMBYoh4AaABAg,Thank god at least somebody is doing something about it. Best of luck.,1 year ago,Maria Ekka,UCQ5KRi1OwyiMCO8BT7nkG5g,0,https://yt3.ggpht.com/ytc/AMLnZu_bMwaLJ-NsQQOSYBNh7ECpYKo36Ql28p4gUA=s176-c-k-c0x00ffffff-no-rj,False
Ugwtl_DsTIEOalGJRrh4AaABAg,high respect for people who think like this.....,1 year ago,Aju Aju,UChBLF5xUHimOsin3Lcd4nyw,0,https://yt3.ggpht.com/ytc/AMLnZu9oZVsYYMLWbihJ4OqOIRsoi1S_-hsy0HO1wWJ8Eg=s176-c-k-c0x00ffffff-no-rj,False
Ugy8fsaGq1SL6S_p5Ed4AaABAg,Good initiative,1 year ago,Harshad K H,UC36xhm8bGqQ8YO5FqEod3dw,0,https://yt3.ggpht.com/ytc/AMLnZu-1cmZYsGMuGEW9St0Fe7WV_jRE_AiA0XhjaIHMHw=s176-c-k-c0x00ffffff-no-rj,False
Ugzf5jZ90LvCM6oyWfx4AaABAg,Jai hind jai India,1 year ago (edited),Nupur Sharma,UC3-s61_diz019dXPAe3Vntg,1,https://yt3.ggpht.com/ytc/AMLnZu9NPtNjrD-gJMlncYmqrzpht2RW2ccJf9DMOzOmNE-CjS3vtPP_D0mCb6Ro7zCv=s176-c-k-c0x00ffffff-no-rj,False
UgyDAr5aYa5iLywPUtt4AaABAg,Gurugram is in up new it industry of India 😎,1 year ago,No one ;,UCKLB7J-QPWEn96TQv_649rw,4,https://yt3.ggpht.com/ytc/AMLnZu_k9pJ7HygAiI9tS_iCXhljoe4id-rJoekBVw8SEQ=s176-c-k-c0x00ffffff-no-rj,False
